"","dossel_mean","dossel_sd","veg_arbust_arbor_mean","veg_arbust_arbor_sd","canal_encaixado_canalizado_mean","canal_encaixado_canalizado_sd","sinuosidade_mean","sinuosidade_sd","diversity_mesohabitat_mean","diversity_mesohabitat_sd","fluxo_continuo_mean","fluxo_continuo_sd","corredeira_mean","corredeira_sd","poco_mean","poco_sd","cascata_mean","cascata_sd","madeiras_e_bancos_de_folhas_mean","madeiras_e_bancos_de_folhas_sd","temperature_mean","temperature_sd","pH_mean","pH_sd","SPC_mean","SPC_sd","turbidity_mean","turbidity_sd","TC_mean","TC_sd","TN_mean","TN_sd","chlorophyll_a_mean","chlorophyll_a_sd","DO_mean","DO_sd"
"0",75.822916666,31.276061183456,64.151058321608,40.8590225641002,0,0,1,0.707106781186548,0.568328414783062,0.54621515400866,65.6,33.6867926641881,26.8,24.6819772303598,6.6,9.83869910099907,1,1.73205080756888,7.36,7.2600275481571,16.2255838843266,1.18508900542043,6.05487475274594,0.483146374715278,24.9547363569076,2.29374172519947,4.37264143830353,3.66793063614503,4.19515027760144,0.578058192803188,2.37070844884763,0.90823523316211,1.07688919030983,0.674708853947504,7.64954040722589,0.625404546279643
"12.5",53.87604167,21.2642053213844,10.2699645407035,7.57738549953749,0,0,0.2,0.447213595499958,0.29564430053755,0.284628973129462,90.8,8.8994381845148,7.2,6.72309452558864,0,0,2,2.82842712474619,1.4,1.04880884817015,18.666666668,2.4648360331707,6.7413333334,0.42558032270856,184.096666646,102.099065712787,14.5133333326,10.80780582074,18.153816666,8.23936820330588,6.402433334,3.86125056229511,2.0134333332,1.10355416712134,2.208,1.57364906802055
"25",52.697916668,20.1828931346385,13.9898627336683,8.71938250425482,0,0,1,0,0.586502965995349,0.373529702733042,75.2,20.3273215156351,19.2,16.1616830806695,3.2,5.21536192416212,2.4,3.286335345031,3.51,1.15563835173466,18.916666666,0.565439849168572,6.9830000002,0.125667108592945,267.86333336,170.552216004303,43.9066666598,86.1180307466143,30.004,23.8663649211487,12.6512333332,11.3895763383767,3.2360333332,2.65698626374093,2.4833333334,1.80546354446641
"50",48.2916666666,34.7585413354719,10.6532663316583,15.9360670611649,0,0,0.4,0.547722557505166,0.600421810712994,0.390234424737264,71.6,29.3734574063048,19.2,18.5256578830551,5.4,12.0747670784989,3.8,3.3466401061363,1.94,1.42758537397943,19.9695749946702,0.901246788614269,7.2707303744754,0.23527358273554,493.034576056897,113.339903275275,96.5269263127007,133.340698246453,64.3190721037454,13.9480903621171,23.7716459881032,5.70086044857631,5.13478215816612,2.23102515546827,0.813365146626496,0.247570072802504
"75",27.916666668,18.952358549019,1.16034719055276,1.19371594409128,40,54.7722557505166,0,0,0.371022864907379,0.341317062025182,85.6,13.4461890511773,12,12.5698050899765,0,0,2.4,4.33589667773576,1.16,0.622896460095897,21.074333334,1.98290667689954,7.4223666666,0.100694560271011,531.29666666,199.864754416595,46.763333334,38.5561304393565,57.334499998,29.6704183704458,22.554416668,13.8130583430651,5.0668333334,2.09760474841378,2.3541000002,1.96743453098499
"100",35.4062499982,23.2647394381877,7.23618090452261,10.8570627343167,80,44.7213595499958,0,0,0.499735200595947,0.188804553924637,73.7,20.4132310034448,25.9,20.7316183642281,0,0,0.4,0.894427190999916,1.88,1.36088206689632,22.8635617100413,1.18692745711472,7.65891258802733,0.178589810325723,692.155517288272,127.140628803916,49.9141931780966,19.5259252959691,79.2825746811241,24.7222596451455,29.9844970681711,9.18459164806521,7.96131187436287,2.15854571972882,0.873541101157605,0.599348594952334
